COSMIC_ID,CELL_LINE_NAME,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,LN_IC50,AUC
905960,MDA-MB-231,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.308335,0.930403
906801,BT-20,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.781183,0.967394
906812,COLO-824,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,2.096052,0.8504579999999999
906826,CAL-120,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,5.5393159999999995,0.93704
906844,DU-4475,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,1.081764,0.80206
906851,EFM-19,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.812046,0.932457
906862,EVSA-T,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,1.715134,0.8521839999999999
907045,HCC1419,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.4739489999999997,0.947268
907046,HCC1569,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,1.980809,0.842648
907048,HCC70,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,2.500691,0.8961169999999999
908120,MDA-MB-175-VII,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,5.176648,0.926583
908121,MDA-MB-361,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,4.08523,0.965111
908122,MDA-MB-453,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,2.0000359999999997,0.8434849999999999
908123,MDA-MB-468,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,0.869783,0.737236
908151,MRK-nu-1,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,2.249089,0.903842
909256,OCUB-M,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,1.97875,0.8657779999999999
909778,UACC-893,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,4.444872,0.963708
909907,ZR-75-30,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,4.790172999999999,0.935648
910704,AU565,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.274619,0.936721
910852,CAL-85-1,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.980123,0.949414
910910,UACC-812,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.614132,0.919296
910927,CAL-51,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,2.510996,0.8775529999999999
910948,MFM-223,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,0.653555,0.6846209999999999
924106,CAL-148,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,1.887917,0.8494459999999999
924240,MDA-MB-415,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.897776,0.96589
925338,MDA-MB-157,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.084019,0.91751
946359,BT-474,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.683378,0.907953
946382,CAMA-1,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.586316,0.948307
949093,BT-483,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,6.019823,0.933692
1240172,MDA-MB-436,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.808871,0.928701
1290798,EFM-192A,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,5.313406,0.977292
1290905,HCC1428,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,4.186394,0.917394
1290906,HCC202,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,2.67615,0.920413
1290922,HDQ-P1,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.929187,0.941314
1298157,JIMT-1,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,4.36851,0.970095
1303900,HCC1500,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.285776,0.939916
1303911,YMB-1-E,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,3.981446,0.944125
1330941,MDA-MB-330,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,5.7559499999999995,0.973751
749709,HCC1954,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.378024,0.98843
749710,HCC1143,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.194465999999999,0.982614
749711,HCC1187,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.312486,0.987973
749712,HCC1395,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.937499,0.984125
749713,HCC1599,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.012446,0.979071
749714,HCC1937,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.370515999999999,0.982809
749715,HCC2157,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,4.222087999999999,0.980496
749716,HCC2218,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.171557,0.989772
749717,HCC38,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,4.561431,0.954279
905945,T47D,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.724775,0.985043
905946,MCF7,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.255666,0.980548
905951,BT-549,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.4264209999999995,0.979584
905957,Hs-578-T,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.829744,0.981191
905960,MDA-MB-231,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.599158999999999,0.986209
906801,BT-20,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.225258,0.991113
906812,COLO-824,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.07365,0.976322
906826,CAL-120,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,7.484909999999999,0.97216
906844,DU-4475,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,4.404974999999999,0.992349
906851,EFM-19,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.336946999999999,0.972743
906862,EVSA-T,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,4.929529,0.990075
907045,HCC1419,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.168061,0.985972
907046,HCC1569,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.164243,0.97839
907048,HCC70,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.415684,0.988247
908120,MDA-MB-175-VII,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,7.422095,0.971074
908121,MDA-MB-361,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.391666,0.987453
908122,MDA-MB-453,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,4.823761,0.972161
908123,MDA-MB-468,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.615297,0.983143
908151,MRK-nu-1,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,4.621589999999999,0.989582
909256,OCUB-M,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.1142259999999995,0.988298
909778,UACC-893,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.571903,0.983308
909907,ZR-75-30,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,7.083219,0.978821
910704,AU565,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.361802,0.987055
910852,CAL-85-1,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.813129,0.985352
910910,UACC-812,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.296679999999999,0.982905
910927,CAL-51,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.656823,0.983254
910948,MFM-223,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.017028,0.966509
924106,CAL-148,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.289486,0.986676
924240,MDA-MB-415,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.276644999999999,0.989336
925338,MDA-MB-157,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.730328999999999,0.986661
946359,BT-474,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.665273999999999,0.980431
946382,CAMA-1,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.510828,0.988098
949093,BT-483,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,8.252326,0.971411
1240172,MDA-MB-436,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.346463,0.984035
1290798,EFM-192A,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.039784,0.986065
1290905,HCC1428,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.946501,0.978354
1290922,HDQ-P1,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.839068,0.982453
1298157,JIMT-1,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.619863,0.988598
1303900,HCC1500,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.459044,0.989099
1303911,YMB-1-E,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,5.914086999999999,0.983891
1330941,MDA-MB-330,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,6.031209,0.977565
749709,HCC1954,Afatinib,"EGFR, ERBB2",EGFR signaling,1.898886,0.8796269999999999
749710,HCC1143,Afatinib,"EGFR, ERBB2",EGFR signaling,1.775753,0.841194
749711,HCC1187,Afatinib,"EGFR, ERBB2",EGFR signaling,2.114522,0.8942819999999999
749712,HCC1395,Afatinib,"EGFR, ERBB2",EGFR signaling,1.938865,0.830403
749713,HCC1599,Afatinib,"EGFR, ERBB2",EGFR signaling,2.4238649999999997,0.868277
749714,HCC1937,Afatinib,"EGFR, ERBB2",EGFR signaling,2.36305,0.874409
749715,HCC2157,Afatinib,"EGFR, ERBB2",EGFR signaling,-0.310199,0.685368
749716,HCC2218,Afatinib,"EGFR, ERBB2",EGFR signaling,-3.585495,0.267561
749717,HCC38,Afatinib,"EGFR, ERBB2",EGFR signaling,3.700751,0.938987
905945,T47D,Afatinib,"EGFR, ERBB2",EGFR signaling,1.792157,0.857476
905946,MCF7,Afatinib,"EGFR, ERBB2",EGFR signaling,3.233621,0.915351
905951,BT-549,Afatinib,"EGFR, ERBB2",EGFR signaling,2.039331,0.847254
905957,Hs-578-T,Afatinib,"EGFR, ERBB2",EGFR signaling,1.455082,0.8235819999999999
905960,MDA-MB-231,Afatinib,"EGFR, ERBB2",EGFR signaling,1.70569,0.856499
906801,BT-20,Afatinib,"EGFR, ERBB2",EGFR signaling,2.6003659999999997,0.931369
906812,COLO-824,Afatinib,"EGFR, ERBB2",EGFR signaling,0.993215,0.7957799999999999
906826,CAL-120,Afatinib,"EGFR, ERBB2",EGFR signaling,3.363558,0.878583
906844,DU-4475,Afatinib,"EGFR, ERBB2",EGFR signaling,1.660815,0.890728
906851,EFM-19,Afatinib,"EGFR, ERBB2",EGFR signaling,1.896849,0.852425
906862,EVSA-T,Afatinib,"EGFR, ERBB2",EGFR signaling,2.069566,0.904553
907046,HCC1569,Afatinib,"EGFR, ERBB2",EGFR signaling,1.5149469999999998,0.8383809999999999
907048,HCC70,Afatinib,"EGFR, ERBB2",EGFR signaling,2.163163,0.8956679999999999
908120,MDA-MB-175-VII,Afatinib,"EGFR, ERBB2",EGFR signaling,-3.965072,0.25466
908121,MDA-MB-361,Afatinib,"EGFR, ERBB2",EGFR signaling,0.272899,0.738705
908122,MDA-MB-453,Afatinib,"EGFR, ERBB2",EGFR signaling,1.311556,0.822175
908123,MDA-MB-468,Afatinib,"EGFR, ERBB2",EGFR signaling,0.174724,0.7207399999999999
908151,MRK-nu-1,Afatinib,"EGFR, ERBB2",EGFR signaling,1.57165,0.8736929999999999
909256,OCUB-M,Afatinib,"EGFR, ERBB2",EGFR signaling,-0.932433,0.614649
909778,UACC-893,Afatinib,"EGFR, ERBB2",EGFR signaling,-3.09496,0.333596
909907,ZR-75-30,Afatinib,"EGFR, ERBB2",EGFR signaling,-1.759559,0.518551
910704,AU565,Afatinib,"EGFR, ERBB2",EGFR signaling,-1.533974,0.546719
910852,CAL-85-1,Afatinib,"EGFR, ERBB2",EGFR signaling,2.5057989999999997,0.900237
910910,UACC-812,Afatinib,"EGFR, ERBB2",EGFR signaling,1.022277,0.7373569999999999
910927,CAL-51,Afatinib,"EGFR, ERBB2",EGFR signaling,2.470401,0.8975059999999999
910948,MFM-223,Afatinib,"EGFR, ERBB2",EGFR signaling,2.7123969999999997,0.872989
924106,CAL-148,Afatinib,"EGFR, ERBB2",EGFR signaling,1.597394,0.823839
924240,MDA-MB-415,Afatinib,"EGFR, ERBB2",EGFR signaling,2.242572,0.906102
925338,MDA-MB-157,Afatinib,"EGFR, ERBB2",EGFR signaling,3.602241,0.951501
946359,BT-474,Afatinib,"EGFR, ERBB2",EGFR signaling,-0.974857,0.595936
946382,CAMA-1,Afatinib,"EGFR, ERBB2",EGFR signaling,3.212363,0.945178
949093,BT-483,Afatinib,"EGFR, ERBB2",EGFR signaling,4.920465,0.901827
1240172,MDA-MB-436,Afatinib,"EGFR, ERBB2",EGFR signaling,4.350084,0.95678
1290798,EFM-192A,Afatinib,"EGFR, ERBB2",EGFR signaling,0.788327,0.774489
1290905,HCC1428,Afatinib,"EGFR, ERBB2",EGFR signaling,2.4867969999999997,0.8594229999999999
1290922,HDQ-P1,Afatinib,"EGFR, ERBB2",EGFR signaling,0.401188,0.7376969999999999
1298157,JIMT-1,Afatinib,"EGFR, ERBB2",EGFR signaling,1.656423,0.857659
1303900,HCC1500,Afatinib,"EGFR, ERBB2",EGFR signaling,1.232027,0.8284819999999999
1303911,YMB-1-E,Afatinib,"EGFR, ERBB2",EGFR signaling,3.65741,0.961331
1330941,MDA-MB-330,Afatinib,"EGFR, ERBB2",EGFR signaling,-2.272881,0.515268
749709,HCC1954,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.1973629999999997,0.876288
749710,HCC1143,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,3.573301,0.919325
749711,HCC1187,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.863975,0.919994
